tuning,cases,f1
Default B,ASIA,0.467973856
Default A,ASIA,0.329819361
Default B,ASIA,0.903284314
Default A,ASIA,0.439821429
Default B,ASIA,0.298626374
Default A,ASIA,0.301854396
Default B,ALARM,0.491520965
Default A,ALARM,0.405508098
Default B,ALARM,0.886176257
Default A,ALARM,0.711527854
Default B,ALARM,0.492667536
Default A,ALARM,0.494978582
Default B,Property,0.725595238
Default A,Property,0.550686438
Default B,Property,0.818678337
Default A,Property,0.415551009
Default B,Property,0.51531401
Default A,Property,0.54044482
Default B,SPORTS,0.284900285
Default A,SPORTS,0.274193548
Default B,SPORTS,0.691666667
Default A,SPORTS,0.306650104
Default B,SPORTS,0.260869565
Default A,SPORTS,0.271
Default B,HAILFINDER,0.50591954
Default A,HAILFINDER,0.345692687
Default B,HAILFINDER,0.513682866
Default A,HAILFINDER,0.384906674
Default B,HAILFINDER,0.386194155
Default A,HAILFINDER,0.370251041
Default B,HEPAR2,0.613432214
Default A,HEPAR2,0.383386852
Default B,HEPAR2,0.566348144
Default A,HEPAR2,0.244017779
Default B,HEPAR2,0.438139267
Default A,HEPAR2,0.397362242
Default B,ALARM,0.749680252
Default A,ALARM,0.72929213
Default B,ASIA,0.797720588
Default A,ASIA,0.797720588
Default B,Property,0.648661601
Default A,Property,0.69800363
Default B,SPORTS,0.4
Default A,SPORTS,0.4
Default B,HEPAR2,0.382928629
Default A,HEPAR2,0.378049414
Default B,HAILFINDER,0.509222847
Default A,HAILFINDER,0.512686609
Default B,ASIA,0.439821429
Default B,ALARM,0.711527854
Default B,Property,0.415551009
Default B,SPORTS,0.306650104
Default B,HAILFINDER,0.384906674
Default B,HEPAR2,0.244017779
SOS (AIC Tuning),ASIA,0.460130719
SOS (AIC Tuning),ASIA,0.903284314
SOS (AIC Tuning),ASIA,0.439821429
SOS (AIC Tuning),ASIA,0.315934066
SOS (AIC Tuning),ALARM,0.491474072
SOS (AIC Tuning),ALARM,0.88971917
SOS (AIC Tuning),ALARM,0.720479566
SOS (AIC Tuning),ALARM,0.498203968
SOS (AIC Tuning),Property,0.725595238
SOS (AIC Tuning),Property,0.818678337
SOS (AIC Tuning),Property,0.513608459
SOS (AIC Tuning),Property,0.511980676
SOS (AIC Tuning),SPORTS,0.282336182
SOS (AIC Tuning),SPORTS,0.691666667
SOS (AIC Tuning),SPORTS,0.340367965
SOS (AIC Tuning),SPORTS,0.260869565
SOS (AIC Tuning),HAILFINDER,0.50591954
SOS (AIC Tuning),HAILFINDER,0.502938032
SOS (AIC Tuning),HAILFINDER,0.42692916
SOS (AIC Tuning),HAILFINDER,0.400405271
SOS (AIC Tuning),HEPAR2,0.613432214
SOS (AIC Tuning),HEPAR2,0.568796948
SOS (AIC Tuning),HEPAR2,0.253055689
SOS (AIC Tuning),HEPAR2,0.438139267
SOS (AIC Tuning),ALARM,0.749680252
SOS (AIC Tuning),ASIA,0.800972222
SOS (AIC Tuning),Property,0.648661601
SOS (AIC Tuning),SPORTS,0.4
SOS (AIC Tuning),HEPAR2,0.382928629
SOS (AIC Tuning),HAILFINDER,0.509222847
