"hyperparm","precision","recall","BSF","f1","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct"
1,0.959183673469388,0.691176470588235,0.684724857685009,0.803418803418803,47,2,21,308,68,68,310,49,0,0,0
5,0.961538461538462,0.735294117647059,0.728842504743833,0.833333333333333,50,2,18,308,68,68,310,52,0,0,0
10,0.962962962962963,0.764705882352941,0.758254269449715,0.852459016393443,52,2,16,308,68,68,310,54,0,0,0
15,0.963636363636364,0.779411764705882,0.772960151802657,0.861788617886179,53,2,15,308,68,68,310,55,0,0,0
20,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
25,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
30,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
35,0.982142857142857,0.808823529411765,0.805597722960152,0.887096774193548,55,1,13,309,68,68,310,56,0,0,0
40,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
45,0.982142857142857,0.808823529411765,0.805597722960152,0.887096774193548,55,1,13,309,68,68,310,56,0,0,0
50,0.964912280701754,0.808823529411765,0.802371916508539,0.88,55,2,13,308,68,68,310,57,0,0,0
55,0.964912280701754,0.808823529411765,0.802371916508539,0.88,55,2,13,308,68,68,310,57,0,0,0
60,0.964912280701754,0.808823529411765,0.802371916508539,0.88,55,2,13,308,68,68,310,57,0,0,0
65,0.964912280701754,0.808823529411765,0.802371916508539,0.88,55,2,13,308,68,68,310,57,0,0,0
70,0.964912280701754,0.808823529411765,0.802371916508539,0.88,55,2,13,308,68,68,310,57,0,0,0
75,0.964912280701754,0.808823529411765,0.802371916508539,0.88,55,2,13,308,68,68,310,57,0,0,0
80,0.96551724137931,0.823529411764706,0.81707779886148,0.888888888888889,56,2,12,308,68,68,310,58,0,0,0
85,0.96551724137931,0.823529411764706,0.81707779886148,0.888888888888889,56,2,12,308,68,68,310,58,0,0,0
90,0.933333333333333,0.823529411764706,0.810626185958254,0.875,56,4,12,306,68,68,310,60,0,0,0
95,0.918032786885246,0.823529411764706,0.807400379506641,0.868217054263566,56,5,12,305,68,68,310,61,0,0,0
100,0.903225806451613,0.823529411764706,0.804174573055028,0.861538461538462,56,6,12,304,68,68,310,62,0,0,0
1,0.964285714285714,0.794117647058823,0.787666034155598,0.870967741935484,54,2,14,308,68,68,310,56,0,0,0
5,0.966666666666667,0.852941176470588,0.846489563567362,0.90625,58,2,10,308,68,68,310,60,0,0,0
10,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
15,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
20,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
25,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
30,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
35,0.983606557377049,0.882352941176471,0.879127134724858,0.930232558139535,60,1,8,309,68,68,310,61,0,0,0
40,0.983606557377049,0.882352941176471,0.879127134724858,0.930232558139535,60,1,8,309,68,68,310,61,0,0,0
45,0.983870967741935,0.897058823529412,0.893833017077799,0.938461538461539,61,1,7,309,68,68,310,62,0,0,0
50,0.983870967741935,0.897058823529412,0.893833017077799,0.938461538461539,61,1,7,309,68,68,310,62,0,0,0
55,0.983870967741935,0.897058823529412,0.893833017077799,0.938461538461539,61,1,7,309,68,68,310,62,0,0,0
60,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
65,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
70,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
75,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
80,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
85,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
90,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
95,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
100,0.984126984126984,0.911764705882353,0.90853889943074,0.946564885496183,62,1,6,309,68,68,310,63,0,0,0
1,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
5,0.951612903225806,0.867647058823529,0.857969639468691,0.907692307692308,59,3,9,307,68,68,310,62,0,0,0
10,0.983870967741935,0.897058823529412,0.893833017077799,0.938461538461539,61,1,7,309,68,68,310,62,0,0,0
15,0.983870967741935,0.897058823529412,0.893833017077799,0.938461538461539,61,1,7,309,68,68,310,62,0,0,0
20,0.983870967741935,0.897058823529412,0.893833017077799,0.938461538461539,61,1,7,309,68,68,310,62,0,0,0
25,0.983870967741935,0.897058823529412,0.893833017077799,0.938461538461539,61,1,7,309,68,68,310,62,0,0,0
30,0.968253968253968,0.897058823529412,0.890607210626186,0.931297709923664,61,2,7,308,68,68,310,63,0,0,0
