"V1"
structure runtime: 4.26 sec elapsed
structure runtime: 3.11 sec elapsed
structure runtime: 3.09 sec elapsed
structure runtime: 2.81 sec elapsed
structure runtime: 3.03 sec elapsed
structure runtime: 3.8 sec elapsed
structure runtime: 3.39 sec elapsed
structure runtime: 3.35 sec elapsed
structure runtime: 3.34 sec elapsed
structure runtime: 3.77 sec elapsed
structure runtime: 4.03 sec elapsed
structure runtime: 4.74 sec elapsed
structure runtime: 6.01 sec elapsed
structure runtime: 5.61 sec elapsed
structure runtime: 6.38 sec elapsed
structure runtime: 4.38 sec elapsed
structure runtime: 5.62 sec elapsed
structure runtime: 7.71 sec elapsed
structure runtime: 5.47 sec elapsed
structure runtime: 6.15 sec elapsed
structure runtime: 15.63 sec elapsed
structure runtime: 15.21 sec elapsed
structure runtime: 11.97 sec elapsed
structure runtime: 13.33 sec elapsed
structure runtime: 17 sec elapsed
structure runtime: 12.42 sec elapsed
structure runtime: 10.62 sec elapsed
structure runtime: 12.91 sec elapsed
structure runtime: 19.65 sec elapsed
structure runtime: 13.5 sec elapsed
structure runtime: 18.22 sec elapsed
structure runtime: 12.94 sec elapsed
structure runtime: 19.55 sec elapsed
structure runtime: 15.97 sec elapsed
structure runtime: 12.75 sec elapsed
structure runtime: 13.39 sec elapsed
structure runtime: 11.88 sec elapsed
structure runtime: 12.74 sec elapsed
structure runtime: 11.74 sec elapsed
structure runtime: 11.25 sec elapsed
structure runtime: 31.27 sec elapsed
structure runtime: 27.66 sec elapsed
structure runtime: 28.15 sec elapsed
structure runtime: 26.28 sec elapsed
structure runtime: 27.74 sec elapsed
structure runtime: 29.46 sec elapsed
structure runtime: 28.69 sec elapsed
structure runtime: 24.16 sec elapsed
structure runtime: 26.11 sec elapsed
structure runtime: 25.5 sec elapsed
structure runtime: 24.96 sec elapsed
structure runtime: 35.75 sec elapsed
structure runtime: 30.5 sec elapsed
structure runtime: 31.56 sec elapsed
structure runtime: 27.17 sec elapsed
structure runtime: 23.96 sec elapsed
structure runtime: 24.83 sec elapsed
structure runtime: 29.39 sec elapsed
structure runtime: 22.61 sec elapsed
structure runtime: 21.48 sec elapsed
structure runtime: 33.44 sec elapsed
structure runtime: 37.77 sec elapsed
structure runtime: 41.03 sec elapsed
structure runtime: 48.14 sec elapsed
structure runtime: 32.78 sec elapsed
structure runtime: 38.6 sec elapsed
structure runtime: 41.08 sec elapsed
structure runtime: 49.98 sec elapsed
structure runtime: 42.58 sec elapsed
structure runtime: 37.23 sec elapsed
structure runtime: 33.87 sec elapsed
structure runtime: 35.06 sec elapsed
structure runtime: 42.34 sec elapsed
structure runtime: 41.41 sec elapsed
structure runtime: 33.49 sec elapsed
structure runtime: 32.38 sec elapsed
structure runtime: 34.72 sec elapsed
structure runtime: 37.25 sec elapsed
structure runtime: 35.7 sec elapsed
structure runtime: 34.7 sec elapsed
