"V1"
structure runtime: 4.26 sec elapsed
structure runtime: 3.11 sec elapsed
structure runtime: 3.09 sec elapsed
structure runtime: 2.81 sec elapsed
structure runtime: 3.03 sec elapsed
structure runtime: 3.8 sec elapsed
structure runtime: 3.39 sec elapsed
structure runtime: 3.35 sec elapsed
structure runtime: 3.34 sec elapsed
structure runtime: 3.77 sec elapsed
structure runtime: 4.03 sec elapsed
structure runtime: 4.74 sec elapsed
structure runtime: 6.01 sec elapsed
structure runtime: 5.61 sec elapsed
structure runtime: 6.38 sec elapsed
structure runtime: 4.38 sec elapsed
structure runtime: 5.62 sec elapsed
structure runtime: 7.71 sec elapsed
structure runtime: 5.47 sec elapsed
structure runtime: 6.15 sec elapsed
